Image_Label,EncodedPixels
0011165_0.jpg_FISH,
0011165_0.jpg_FLOWER,
0011165_0.jpg_GRAVEL,
0011165_0.jpg_SUGAR,
0011165_1.jpg_FISH,
0011165_1.jpg_FLOWER,
0011165_1.jpg_GRAVEL,
0011165_1.jpg_SUGAR,
0011165_2.jpg_FISH,
0011165_2.jpg_FLOWER,
0011165_2.jpg_GRAVEL,
0011165_2.jpg_SUGAR,
0011165_3.jpg_FISH,
0011165_3.jpg_FLOWER,
0011165_3.jpg_GRAVEL,
0011165_3.jpg_SUGAR,
0011165_4.jpg_FISH,
0011165_4.jpg_FLOWER,
0011165_4.jpg_GRAVEL,
0011165_4.jpg_SUGAR,
0011165_5.jpg_FISH,
0011165_5.jpg_FLOWER,
0011165_5.jpg_GRAVEL,
0011165_5.jpg_SUGAR,
0011165_6.jpg_FISH,
0011165_6.jpg_FLOWER,
0011165_6.jpg_GRAVEL,
0011165_6.jpg_SUGAR,
0011165_7.jpg_FISH,
0011165_7.jpg_FLOWER,
0011165_7.jpg_GRAVEL,
0011165_7.jpg_SUGAR,
0011165_8.jpg_FISH,
0011165_8.jpg_FLOWER,
0011165_8.jpg_GRAVEL,
0011165_8.jpg_SUGAR,
0011165_9.jpg_FISH,
0011165_9.jpg_FLOWER,
0011165_9.jpg_GRAVEL,
0011165_9.jpg_SUGAR,
0011165_10.jpg_FISH,
0011165_10.jpg_FLOWER,
0011165_10.jpg_GRAVEL,
0011165_10.jpg_SUGAR,
0011165_11.jpg_FISH,
0011165_11.jpg_FLOWER,
0011165_11.jpg_GRAVEL,
0011165_11.jpg_SUGAR,
0011165_12.jpg_FISH,
0011165_12.jpg_FLOWER,
0011165_12.jpg_GRAVEL,
0011165_12.jpg_SUGAR,
0011165_13.jpg_FISH,
0011165_13.jpg_FLOWER,
0011165_13.jpg_GRAVEL,
0011165_13.jpg_SUGAR,
0011165_14.jpg_FISH,
0011165_14.jpg_FLOWER,
0011165_14.jpg_GRAVEL,
0011165_14.jpg_SUGAR,
0011165_15.jpg_FISH,
0011165_15.jpg_FLOWER,
0011165_15.jpg_GRAVEL,
0011165_15.jpg_SUGAR,
0011165_16.jpg_FISH,
0011165_16.jpg_FLOWER,
0011165_16.jpg_GRAVEL,
0011165_16.jpg_SUGAR,
0011165_17.jpg_FISH,
0011165_17.jpg_FLOWER,
0011165_17.jpg_GRAVEL,
0011165_17.jpg_SUGAR,
0011165_18.jpg_FISH,
0011165_18.jpg_FLOWER,
0011165_18.jpg_GRAVEL,
0011165_18.jpg_SUGAR,
0011165_19.jpg_FISH,
0011165_19.jpg_FLOWER,
0011165_19.jpg_GRAVEL,
0011165_19.jpg_SUGAR,
0011165_20.jpg_FISH,
0011165_20.jpg_FLOWER,
0011165_20.jpg_GRAVEL,
0011165_20.jpg_SUGAR,
0011165_21.jpg_FISH,
0011165_21.jpg_FLOWER,
0011165_21.jpg_GRAVEL,
0011165_21.jpg_SUGAR,
0011165_22.jpg_FISH,
0011165_22.jpg_FLOWER,
0011165_22.jpg_GRAVEL,
0011165_22.jpg_SUGAR,
0011165_23.jpg_FISH,
0011165_23.jpg_FLOWER,
0011165_23.jpg_GRAVEL,
0011165_23.jpg_SUGAR,
0011165_24.jpg_FISH,
0011165_24.jpg_FLOWER,
0011165_24.jpg_GRAVEL,
0011165_24.jpg_SUGAR,
0011165_25.jpg_FISH,
0011165_25.jpg_FLOWER,
0011165_25.jpg_GRAVEL,
0011165_25.jpg_SUGAR,
0011165_26.jpg_FISH,
0011165_26.jpg_FLOWER,
0011165_26.jpg_GRAVEL,
0011165_26.jpg_SUGAR,
0011165_27.jpg_FISH,
0011165_27.jpg_FLOWER,
0011165_27.jpg_GRAVEL,
0011165_27.jpg_SUGAR,
0011165_28.jpg_FISH,
0011165_28.jpg_FLOWER,
0011165_28.jpg_GRAVEL,
0011165_28.jpg_SUGAR,
0011165_29.jpg_FISH,
0011165_29.jpg_FLOWER,
0011165_29.jpg_GRAVEL,
0011165_29.jpg_SUGAR,
0011165_30.jpg_FISH,
0011165_30.jpg_FLOWER,
0011165_30.jpg_GRAVEL,
0011165_30.jpg_SUGAR,
0011165_31.jpg_FISH,6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_31.jpg_FLOWER,
0011165_31.jpg_GRAVEL,
0011165_31.jpg_SUGAR,
0011165_32.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_32.jpg_FLOWER,
0011165_32.jpg_GRAVEL,
0011165_32.jpg_SUGAR,
0011165_33.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
0011165_33.jpg_FLOWER,
0011165_33.jpg_GRAVEL,
0011165_33.jpg_SUGAR,
0011165_34.jpg_FISH,38 102 178 102 318 102 458 102 598 102 738 102 878 102 1018 102 1158 102 1298 102 1438 102 1578 102 1718 102 1858 102 1998 102 2138 102 2278 102 2418 102 2558 102 2698 102 2838 102 2978 102 3118 102 3258 102 3398 102 3538 102 3678 102 3818 102 3958 102 4098 102 4238 102 4378 102 4518 102 4658 102 4798 102 4938 102 5078 102 5218 102 5358 102 5498 102 5638 102 5778 102 5918 102 6058 102 6198 102 6338 102 6478 102 6618 102 6758 102 6898 102 7038 102 7178 102 7318 102 7458 102 7598 102 7738 102 7878 102 8018 102 8158 102 8298 102 8438 102 8578 102 8718 102 8858 102 8998 102 9138 102 9278 102 9418 102 9558 102 9698 102 9838 102 9978 102 10118 102 10258 102 10398 102 10538 102 10678 102 10818 102 10958 102 11098 102 11238 102 11378 102 11518 102 11658 102 11798 102 11938 102 12078 102 12218 102 12358 102 12498 102 12638 102 12778 102 12918 102 13058 102 13198 102 13338 102 13478 102 13618 102 13758 102 13898 102 14038 102 14178 102 14318 102 14458 102 14598 102 14738 102 14878 102 15018 102 15158 102 15298 102 15438 102 15578 102 15718 102 15858 102 15998 102 16138 102 16278 102 16418 102 16558 102 16698 102 16838 102 16978 102 17118 102 17258 102 17398 102 17538 102 17678 102 17818 102 17958 102 18098 102 18238 102 18378 102 18518 102 18658 102 18798 102 18938 102 19078 102 19218 102 19358 102 19498 102
